"INSEE_COM";"NOM_COM";"codgeo";"libgeo";"pct"
"02339";"Gandelu";"175";"TARDENOIS";100
"02340";"Gauchy";"160";"SAINT QUENTINOIS";100
"02341";"Gercy";"180";"THIERACHE";100
"02342";"Gergny";"180";"THIERACHE";100
"02343";"Germaine";"161";"SANTERRE";100
"02345";"Gibercourt";"160";"SAINT QUENTINOIS";100
"02346";"Gizy";"165";"SISSONNE";100
"02347";"Gland";"175";"TARDENOIS";100
"02349";"Goudelancourt-lès-Berrieux";"165";"SISSONNE";100
"02350";"Goudelancourt-lès-Pierrepont";"165";"SISSONNE";100
"02351";"Goussancourt";"175";"TARDENOIS";100
"02352";"Gouy";"160";"SAINT QUENTINOIS";100
"02353";"Grandlup-et-Fay";"160";"SAINT QUENTINOIS";100
"02354";"Grandrieux";"180";"THIERACHE";100
"02355";"Gricourt";"161";"SANTERRE";100
"02356";"Grisolles";"175";"TARDENOIS";100
"02357";"Gronard";"180";"THIERACHE";100
"02358";"Grougis";"160";"SAINT QUENTINOIS";100
"02359";"Grugies";"160";"SAINT QUENTINOIS";100
"02360";"Guignicourt";"064";"CRAIE";100
"02361";"Guise";"160";"SAINT QUENTINOIS";100
"02362";"Guivry";"050";"CHAUNOIS";100
"02363";"Guny";"050";"CHAUNOIS";100
"02364";"Guyencourt";"064";"CRAIE";100
"02366";"Hannapes";"160";"SAINT QUENTINOIS";100
"02367";"Happencourt";"160";"SAINT QUENTINOIS";100
"02368";"Haramont";"131";"PLAINE DE FRANCE";100
"02369";"Harcigny";"180";"THIERACHE";100
"02370";"Hargicourt";"160";"SAINT QUENTINOIS";100
"02371";"Harly";"160";"SAINT QUENTINOIS";100
"02372";"Hartennes-et-Taux";"175";"TARDENOIS";100
"02373";"Hary";"180";"THIERACHE";100
"02374";"Lehaucourt";"160";"SAINT QUENTINOIS";100
"02375";"Hautevesnes";"175";"TARDENOIS";100
"02376";"Hauteville";"160";"SAINT QUENTINOIS";100
"02377";"Haution";"180";"THIERACHE";100
"02378";"La Hérie";"180";"THIERACHE";100
"02379";"Le Hérie-la-Viéville";"160";"SAINT QUENTINOIS";100
"02380";"Hinacourt";"160";"SAINT QUENTINOIS";100
"02381";"Hirson";"180";"THIERACHE";100
"02382";"Holnon";"161";"SANTERRE";100
"02383";"Homblières";"160";"SAINT QUENTINOIS";100
"02384";"Houry";"180";"THIERACHE";100
"02385";"Housset";"160";"SAINT QUENTINOIS";100
"02386";"Iron";"160";"SAINT QUENTINOIS";100
"02387";"Itancourt";"160";"SAINT QUENTINOIS";100
"02388";"Iviers";"180";"THIERACHE";100
"02389";"Jaulgonne";"035";"BRIE";100
"02390";"Jeancourt";"161";"SANTERRE";100
"02391";"Jeantes";"180";"THIERACHE";100
"02392";"Joncourt";"160";"SAINT QUENTINOIS";100
"02393";"Jouaignes";"167";"SOISSONNAIS";100
"02395";"Jumencourt";"050";"CHAUNOIS";100
"02396";"Jumigny";"165";"SISSONNE";100
"02397";"Jussy";"160";"SAINT QUENTINOIS";100
"02398";"Juvigny";"167";"SOISSONNAIS";100
"02399";"Juvincourt-et-Damary";"064";"CRAIE";100
"02400";"Laffaux";"167";"SOISSONNAIS";100
"02401";"Laigny";"180";"THIERACHE";100
"02402";"Lanchy";"161";"SANTERRE";100
"02403";"Landifay-et-Bertaignemont";"160";"SAINT QUENTINOIS";100
"02404";"Landouzy-la-Cour";"180";"THIERACHE";100
"02405";"Landouzy-la-Ville";"180";"THIERACHE";100
"02406";"Landricourt";"050";"CHAUNOIS";100
"02407";"Laniscourt";"050";"CHAUNOIS";100
"02408";"Laon";"165";"SISSONNE";100
"02409";"Lappion";"165";"SISSONNE";100
"02410";"Largny-sur-Automne";"167";"SOISSONNAIS";100
"02411";"Latilly";"175";"TARDENOIS";100
"02412";"Launoy";"175";"TARDENOIS";100
"02413";"Laval-en-Laonnois";"050";"CHAUNOIS";100
"02414";"Lavaqueresse";"160";"SAINT QUENTINOIS";100
"02415";"Laversine";"167";"SOISSONNAIS";100
"02416";"Lemé";"160";"SAINT QUENTINOIS";100
"02417";"Lempire";"160";"SAINT QUENTINOIS";100
"02418";"Lerzy";"180";"THIERACHE";100
"02419";"Leschelle";"180";"THIERACHE";100
"02420";"Lesdins";"160";"SAINT QUENTINOIS";100
"02421";"Lesges";"167";"SOISSONNAIS";100
"02422";"Lesquielles-Saint-Germain";"160";"SAINT QUENTINOIS";100
"02423";"Leuilly-sous-Coucy";"050";"CHAUNOIS";100
"02424";"Leury";"167";"SOISSONNAIS";100
"02425";"Leuze";"180";"THIERACHE";100
"02426";"Levergies";"160";"SAINT QUENTINOIS";100
"02427";"Lhuys";"167";"SOISSONNAIS";100
"02428";"Licy-Clignon";"175";"TARDENOIS";100
"02429";"Lierval";"165";"SISSONNE";100
"02430";"Liesse-Notre-Dame";"165";"SISSONNE";100
"02431";"Liez";"050";"CHAUNOIS";100
"02432";"Limé";"167";"SOISSONNAIS";100
"02433";"Lislet";"180";"THIERACHE";100
"02434";"Lizy";"050";"CHAUNOIS";100
"02435";"Logny-lès-Aubenton";"180";"THIERACHE";100
"02438";"Longpont";"167";"SOISSONNAIS";100
"02439";"Les Septvallons";"167";"SOISSONNAIS";100
"02440";"Lor";"064";"CRAIE";100
"02441";"Louâtre";"167";"SOISSONNAIS";100
"02442";"Loupeigne";"175";"TARDENOIS";100
"02443";"Lucy-le-Bocage";"035";"BRIE";100
"02444";"Lugny";"180";"THIERACHE";100
"02445";"Luzoir";"180";"THIERACHE";100
"02446";"Ly-Fontaine";"160";"SAINT QUENTINOIS";100
"02447";"Maast-et-Violaine";"175";"TARDENOIS";100
"02448";"Mâchecourt";"165";"SISSONNE";100
"02449";"Macogny";"175";"TARDENOIS";100
"02450";"Macquigny";"160";"SAINT QUENTINOIS";100
"02451";"Magny-la-Fosse";"160";"SAINT QUENTINOIS";100
"02452";"Maissemy";"161";"SANTERRE";100
"02453";"Maizy";"064";"CRAIE";100
"02454";"La Malmaison";"064";"CRAIE";100
"02455";"Malzy";"160";"SAINT QUENTINOIS";100
"02456";"Manicamp";"050";"CHAUNOIS";100
"02457";"Marchais";"165";"SISSONNE";100
"02458";"Dhuys et Morin-en-Brie";"035";"BRIE";100
"02459";"Marcy";"160";"SAINT QUENTINOIS";100
"02460";"Marcy-sous-Marle";"160";"SAINT QUENTINOIS";100
"02461";"Marest-Dampcourt";"050";"CHAUNOIS";100
"02462";"Mareuil-en-Dôle";"175";"TARDENOIS";100
"02463";"Marfontaine";"160";"SAINT QUENTINOIS";100
"02464";"Margival";"167";"SOISSONNAIS";100
"02465";"Marigny-en-Orxois";"175";"TARDENOIS";100
"02466";"Marizy-Sainte-Geneviève";"175";"TARDENOIS";100
"02467";"Marizy-Saint-Mard";"175";"TARDENOIS";100
"02468";"Marle";"160";"SAINT QUENTINOIS";100
"02469";"Marly-Gomont";"160";"SAINT QUENTINOIS";100
"02470";"Martigny";"180";"THIERACHE";100
"02471";"Martigny-Courpierre";"165";"SISSONNE";100
"02472";"Mauregny-en-Haye";"165";"SISSONNE";100
"02473";"Mayot";"050";"CHAUNOIS";100
"02474";"Mennessis";"050";"CHAUNOIS";100
"02475";"Menneville";"064";"CRAIE";100
"02476";"Mennevret";"160";"SAINT QUENTINOIS";100
"02477";"Mercin-et-Vaux";"167";"SOISSONNAIS";100
"02478";"Merlieux-et-Fouquerolles";"050";"CHAUNOIS";100
"02480";"Mesbrecourt-Richecourt";"160";"SAINT QUENTINOIS";100
"02481";"Mesnil-Saint-Laurent";"160";"SAINT QUENTINOIS";100
"02482";"Meurival";"064";"CRAIE";100
"02483";"Mézières-sur-Oise";"160";"SAINT QUENTINOIS";100
"02484";"Mézy-Moulins";"035";"BRIE";100
"02485";"Missy-aux-Bois";"167";"SOISSONNAIS";100
"02486";"Missy-lès-Pierrepont";"165";"SISSONNE";100
"02487";"Missy-sur-Aisne";"167";"SOISSONNAIS";100
"02488";"Molain";"160";"SAINT QUENTINOIS";100
"02489";"Molinchart";"165";"SISSONNE";100
"02490";"Monampteuil";"050";"CHAUNOIS";100
"02491";"Monceau-le-Neuf-et-Faucouzy";"160";"SAINT QUENTINOIS";100
"02492";"Monceau-lès-Leups";"050";"CHAUNOIS";100
"02493";"Monceau-le-Waast";"160";"SAINT QUENTINOIS";100
"02494";"Monceau-sur-Oise";"160";"SAINT QUENTINOIS";100
"02495";"Mondrepuis";"180";"THIERACHE";100
"02496";"Monnes";"175";"TARDENOIS";100
"02497";"Mons-en-Laonnois";"050";"CHAUNOIS";100
"02498";"Montaigu";"165";"SISSONNE";100
"02499";"Montbavin";"050";"CHAUNOIS";100
"02500";"Montbrehain";"160";"SAINT QUENTINOIS";100
"02501";"Montchâlons";"165";"SISSONNE";100
"02502";"Montcornet";"180";"THIERACHE";100
"02503";"Mont-d'Origny";"160";"SAINT QUENTINOIS";100
"02504";"Montescourt-Lizerolles";"160";"SAINT QUENTINOIS";100
"02505";"Montfaucon";"035";"BRIE";100
"02506";"Montgobert";"167";"SOISSONNAIS";100
"02507";"Montgru-Saint-Hilaire";"175";"TARDENOIS";100
"02508";"Monthenault";"165";"SISSONNE";100
"02509";"Monthiers";"175";"TARDENOIS";100
"02510";"Monthurel";"035";"BRIE";100
"02511";"Montigny-en-Arrouaise";"160";"SAINT QUENTINOIS";100
"02512";"Montigny-l'Allier";"175";"TARDENOIS";100
"02513";"Montigny-le-Franc";"160";"SAINT QUENTINOIS";100
"02514";"Montigny-Lengrain";"167";"SOISSONNAIS";100
"02515";"Montigny-lès-Condé";"035";"BRIE";100
"02516";"Montigny-sous-Marle";"160";"SAINT QUENTINOIS";100
"02517";"Montigny-sur-Crécy";"160";"SAINT QUENTINOIS";100
"02518";"Montlevon";"035";"BRIE";100
"02519";"Montloué";"180";"THIERACHE";100
"02520";"Mont-Notre-Dame";"167";"SOISSONNAIS";100
"02521";"Montreuil-aux-Lions";"035";"BRIE";100
"02522";"Mont-Saint-Jean";"180";"THIERACHE";100
"02523";"Mont-Saint-Martin";"167";"SOISSONNAIS";100
"02524";"Mont-Saint-Père";"175";"TARDENOIS";100
"02525";"Morcourt";"160";"SAINT QUENTINOIS";100
"02526";"Morgny-en-Thiérache";"180";"THIERACHE";100
"02527";"Morsain";"167";"SOISSONNAIS";100
"02528";"Mortefontaine";"167";"SOISSONNAIS";100
"02529";"Mortiers";"160";"SAINT QUENTINOIS";100
"02530";"Moulins";"165";"SISSONNE";100
"02531";"Moussy-Verneuil";"165";"SISSONNE";100
"02532";"Moÿ-de-l'Aisne";"160";"SAINT QUENTINOIS";100
"02533";"Muret-et-Crouttes";"175";"TARDENOIS";100
"02534";"Muscourt";"064";"CRAIE";100
"02535";"Nampcelles-la-Cour";"180";"THIERACHE";100
"02536";"Nampteuil-sous-Muret";"175";"TARDENOIS";100
"02537";"Nanteuil-la-Fosse";"167";"SOISSONNAIS";100
"02538";"Nanteuil-Notre-Dame";"175";"TARDENOIS";100
"02539";"Nauroy";"160";"SAINT QUENTINOIS";100
"02540";"Nesles-la-Montagne";"175";"TARDENOIS";100
"02541";"Neufchâtel-sur-Aisne";"064";"CRAIE";100
"02542";"Neuflieux";"050";"CHAUNOIS";100
"02543";"Neuilly-Saint-Front";"175";"TARDENOIS";100
"02544";"Neuve-Maison";"180";"THIERACHE";100
"02545";"La Neuville-Bosmont";"160";"SAINT QUENTINOIS";100
"02546";"La Neuville-en-Beine";"050";"CHAUNOIS";100
"02547";"La Neuville-Housset";"160";"SAINT QUENTINOIS";100
"02548";"La Neuville-lès-Dorengt";"180";"THIERACHE";100
"02549";"Neuville-Saint-Amand";"160";"SAINT QUENTINOIS";100
"02550";"Neuville-sur-Ailette";"165";"SISSONNE";100
"02551";"Neuville-sur-Margival";"167";"SOISSONNAIS";100
