ID_ESSAI;ID_ESPECE;ESPECE;ANNEE;ID_DEPARTEMENT;DEPARTEMENT;NB_PARCELLE (rdt15);Responsable;Code postal;Site expérimental;Commune
147879;47;MAIS GRAIN;2019;0;Département non précisé;36;JB THIBORD;0;;(Commune non précisée)
147880;47;MAIS GRAIN;2019;0;Département non précisé;36;JB THIBORD;0;;(Commune non précisée)
147881;47;MAIS GRAIN;2019;0;Département non précisé;36;JB THIBORD;0;;(Commune non précisée)
147882;47;MAIS GRAIN;2019;0;Département non précisé;36;JB THIBORD;0;;(Commune non précisée)
147883;47;MAIS GRAIN;2019;0;Département non précisé;36;JB THIBORD;0;;(Commune non précisée)
147884;47;MAIS GRAIN;2019;0;Département non précisé;36;JB THIBORD;0;;(Commune non précisée)
147886;17;BLE TENDRE;2020;17;CHARENTE MARITIME;59;Tscheiller Romain;17700;Curé Cerisier;SAINT-GEORGES-DU-BOIS
147889;48;MAIS FOURRAGE;2019;56;MORBIHAN;9;Masson-Quemener;56500;Le naud;BIGNAN
147898;40;BLE DUR;2020;11;AUDE;21;LACHURIE JP;11320;SOUPEX;SOUPEX
147900;40;BLE DUR;2020;30;GARD;15;Pauline David;30320;;MARGUERITTES
147901;17;BLE TENDRE;2020;91;ESSONNE;8;DESWARTE Jean-Charles;91190;;VILLIERS-LE-BACLE
147902;47;MAIS GRAIN;2019;77;SEINE ET MARNE;52;;77165;;GESVRES-LE-CHAPITRE
147904;17;BLE TENDRE;2020;2;AISNE;16;ESCALLE Brigitte;2590;Germaine;FORESTE
147906;17;BLE TENDRE;2020;36;INDRE;4;E.BARANGER;36100;THIZAY;THIZAY
147907;17;BLE TENDRE;2020;86;VIENNE;16;Drillaud;86600;Basse Vallée - 17 Valid * Densités;JAZENEUIL
147911;47;MAIS GRAIN;2019;67;BAS RHIN;44;LASSERRE Didier;67210;;NIEDERNAI
147912;17;BLE TENDRE;2020;68;HAUT RHIN;28;VERICEL Gregory;68460;Prison;LUTTERBACH
147915;17;BLE TENDRE;2020;36;INDRE;12;E. BARANGER;36100;THIZAY;THIZAY
147916;17;BLE TENDRE;2020;60;OISE;6;DENIS Thierry;60360;CHEVIGNON;AUCHY-LA-MONTAGNE
147918;17;BLE TENDRE;2020;32;GERS;18;A. BOUAS;32810;LEBOULIN;LEBOULIN
147920;96;TOUTES ESPECES;2020;51;MARNE;20;Ph HAUPRICH;51460;;POIX
147922;27;ORGE D'HIVER;2020;21;COTE D'OR;4;Diane CHAVASSIEUX;21600;Ouges;OUGES
147926;40;BLE DUR;2020;11;AUDE;12;LACHURIE Jean-Pierre;11400;SOUILHANELS;SOUILHANELS
147953;89;CAP EN INTERESPECES;2020;32;GERS;18;A. BOUAS;32390;MIREPOIX;MIREPOIX
147956;17;BLE TENDRE;2020;18;CHER;96;E. BARANGER;18570;LE CHAUMOY BTH;LE SUBDRAY
147958;47;MAIS GRAIN;2020;64;PYRENEES ATLANTIQUES;80;C. ALIAGA;64420;LOURENTIES;LOURENTIES
147959;47;MAIS GRAIN;2020;40;LANDES;71;C. ALIAGA;40250;SOUPROSSE;SOUPROSSE
147960;47;MAIS GRAIN;2020;26;DROME;86;T.Ray;26120;MONTMEYRAN;MONTMEYRAN
147963;47;MAIS GRAIN;2020;1;AIN;91;Thibaut RAY;1120;PIZAY;PIZAY
147965;47;MAIS GRAIN;2020;31;HAUTE GARONNE;109;N. MANGEL;31330;;MERVILLE
147966;47;MAIS GRAIN;2020;47;LOT ET GARONNE;48;DUCELLIER;47160;;SAINT-LEGER
147967;47;MAIS GRAIN;2020;64;PYRENEES ATLANTIQUES;60;ALIAGA;64330;;GARLIN
147968;47;MAIS GRAIN;2020;40;LANDES;96;N. MANGEL;40700;;MORGANX
147970;47;MAIS GRAIN;2020;45;LOIRET;77;Boissieres;45310;Patay;PATAY
147974;47;MAIS GRAIN;2020;58;NIEVRE;108;BOISSIERES;58150;;SAINT-QUENTIN-SUR-NOHAIN
147975;47;MAIS GRAIN;2020;1;AIN;108;MANGEL;1600;;MISERIEUX
147976;47;MAIS GRAIN;2020;64;PYRENEES ATLANTIQUES;87;C. ALIAGA;64160;BUROS;BUROS
147977;47;MAIS GRAIN;2020;38;ISERE;88;MANGEL;38240;MEYLAN;MEYLAN
147978;47;MAIS GRAIN;2020;64;PYRENEES ATLANTIQUES;90;C. ALIAGA;64160;BUROS;BUROS
147979;47;MAIS GRAIN;2020;31;HAUTE GARONNE;24;LACHURIE Jean-Pierre;31450;En Crambade;MONTESQUIEU-LAURAGAIS
147980;47;MAIS GRAIN;2020;40;LANDES;24;C. ALIAGA;40400;TARTAS;TARTAS
147981;47;MAIS GRAIN;2020;32;GERS;24;N. MANGEL;32400;RISCLE;RISCLE
147982;47;MAIS GRAIN;2020;69;RHONE;24;Thibaut RAY;69330;PUSIGNAN;PUSIGNAN
147999;47;MAIS GRAIN;2020;82;TARN ET GARONNE;81;LACHURIE Jean-Pierre;82340;SAINT-LOUP;SAINT-LOUP
148000;47;MAIS GRAIN;2020;31;HAUTE GARONNE;63;LACHURIE Jean-Pierre;31450;En Crambade;MONTESQUIEU-LAURAGAIS
148005;47;MAIS GRAIN;2020;40;LANDES;116;C. ALIAGA;40700;MORGANX;MORGANX
148007;47;MAIS GRAIN;2020;18;CHER;68;E.Baranger;18340;Dry;LISSAY-LOCHY
148011;47;MAIS GRAIN;2020;44;LOIRE ATLANTIQUE;80;MANGEL;44140;;LA PLANCHE
148012;47;MAIS GRAIN;2020;72;SARTHE;71;MANGEL;72170;;DOUCELLES
148013;47;MAIS GRAIN;2020;85;VENDEE;80;MOYNIER;85150;;VAIRE
148014;47;MAIS GRAIN;2020;28;EURE ET LOIR;72;MANGEL;28200;;LUTZ-EN-DUNOIS
148015;47;MAIS GRAIN;2020;35;ILLE ET VILAINE;63;MANGEL;35370;;ETRELLES
148016;47;MAIS GRAIN;2020;41;LOIR ET CHER;72;MANGEL;41100;;SELOMMES
148018;47;MAIS GRAIN;2020;10;AUBE;69;MANGEL;10130;;AUXON
148021;47;MAIS GRAIN;2020;76;SEINE MARITIME;104;MANGEL;76520;;YMARE
148022;47;MAIS GRAIN;2020;72;SARTHE;108;MANGEL;72260;;MAROLLES-LES-BRAULTS
148023;47;MAIS GRAIN;2020;35;ILLE ET VILAINE;106;MANGEL;35133;;LUITRE
148024;47;MAIS GRAIN;2020;56;MORBIHAN;98;QUEMENER / MASSON;56500;La metairie n°30;BIGNAN
148025;47;MAIS GRAIN;2020;22;COTES D'ARMOR;108;MANGEL;22210;;LA CHEZE
148026;47;MAIS GRAIN;2020;80;SOMME;85;COLART;80200;ESTREES MONS;ESTREES-MONS
148027;47;MAIS GRAIN;2020;41;LOIR ET CHER;96;Boissieres;41240;;OUZOUER-LE-MARCHE
148028;47;MAIS GRAIN;2020;28;EURE ET LOIR;101;MANGEL;28310;;GOUILLONS
148029;47;MAIS GRAIN;2020;1;AIN;57;Thibaut RAY;1800;BOURG-SAINT-CHRISTOPHE;BOURG-SAINT-CHRISTOPHE
148030;47;MAIS GRAIN;2020;26;DROME;72;MANGEL;26140;;ANNEYRON
148031;47;MAIS GRAIN;2020;32;GERS;93;MANGEL;32370;;SALLES-D'ARMAGNAC
148032;47;MAIS GRAIN;2020;17;CHARENTE MARITIME;71;MANGEL;17290;;AIGREFEUILLE-D'AUNIS
148033;47;MAIS GRAIN;2020;17;CHARENTE MARITIME;70;MANGEL;17770;;AUMAGNE
148034;47;MAIS GRAIN;2020;17;CHARENTE MARITIME;71;MANGEL;17240;;SAINT-SIGISMOND-DE-CLERMONT
148035;47;MAIS GRAIN;2020;85;VENDEE;60;S. BEAUX;85400;;LUCON
148036;47;MAIS GRAIN;2020;17;CHARENTE MARITIME;71;MANGEL;17470;;AULNAY
148037;47;MAIS GRAIN;2020;17;CHARENTE MARITIME;68;F. GAUTIER;17470;;PAILLE
148039;47;MAIS GRAIN;2020;40;LANDES;60;C. ALIAGA;40360;DONZACQ;DONZACQ
148040;47;MAIS GRAIN;2020;40;LANDES;71;MANGEL;40090;;SAINT-MARTIN-D'ONEY
148041;47;MAIS GRAIN;2020;64;PYRENEES ATLANTIQUES;70;F. GAUTIER;64370;;HAGETAUBIN
148042;47;MAIS GRAIN;2020;65;HAUTES PYRENEES;70;MANGEL;65500;;CAMALES
