x;y;groupe;;;;;;;;;
754853.017;6620196.63;13;;;;;;;;;
807810.894;6649952.74;13;;;;;;;;;
804016.198;6616787.05;10;;;;;;;;;
700125.02;6732128.18;2;;;;;;;;;
720366.439;6724782.07;8;;;;;;;;;
731906.802;6755245.35;2;;;;;;;;;
731906.802;6755245.35;5;;;;;;;;;
725815.888;6723555.78;6;;;;;;;;;
743549.522;6743836.58;2;;;;;;;;;
718206.691;6801352.33;5;;;;;;;;;
732661.054;6784881.84;2;;;;;;;;;
726321.871;6712457.26;2;;;;;;;;;
730407.664;6805867.27;5;;;;;;;;;
778232.98;6720665.04;5;;;;;;;;;
705822.148;6742185.25;9;;;;;;;;;
736954.502;6803344.48;2;;;;;;;;;
720366.439;6724782.07;11;;;;;;;;;
736030.625;6752991.71;1;;;;;;;;;
752153.961;6721107.59;6;;;;;;;;;
787874.197;6719803.4;2;;;;;;;;;
730407.664;6805867.27;1;;;;;;;;;
730407.664;6805867.27;2;;;;;;;;;
730274.891;6735588.49;13;;;;;;;;;
765354.931;6724717.17;2;;;;;;;;;
451399.288;6892353.36;8;;;;;;;;;
475722.474;6901889.39;13;;;;;;;;;
475722.474;6901889.39;4;;;;;;;;;
492694.912;6882080.93;5;;;;;;;;;
492694.912;6882080.93;5;;;;;;;;;
439099.257;6897503.85;4;;;;;;;;;
433225.61;6892659.77;5;;;;;;;;;
418980.506;6918811.02;8;;;;;;;;;
426622.682;6881761.05;13;;;;;;;;;
431708.106;6868834.92;1;;;;;;;;;
417221.468;6901803.94;10;;;;;;;;;
426129.942;6886640.67;4;;;;;;;;;
539048.565;6873763.44;1;;;;;;;;;
541262.81;6877249.79;1;;;;;;;;;
548973.257;6857042.19;1;;;;;;;;;
585529.823;6906276.54;2;;;;;;;;;
607130.809;6918272.31;1;;;;;;;;;
567721.427;6865960.42;1;;;;;;;;;
373293.047;6942300.26;13;;;;;;;;;
413819.894;6833809.91;8;;;;;;;;;
381340.778;6837419.63;1;;;;;;;;;
370722.784;6831447.84;8;;;;;;;;;
408605.756;6895562.96;8;;;;;;;;;
356073.008;6948137.12;4;;;;;;;;;
376883.665;6957240.47;4;;;;;;;;;
372426.692;6872603.64;5;;;;;;;;;
368009.693;6901739.47;1;;;;;;;;;
369968.49;6855667.14;13;;;;;;;;;
404661.116;6908029.98;4;;;;;;;;;
370475.438;6911333.87;1;;;;;;;;;
370475.438;6911333.87;13;;;;;;;;;
372426.692;6872603.64;8;;;;;;;;;
465826.062;6862694.66;5;;;;;;;;;
440178.663;6839691.08;4;;;;;;;;;
461027.301;6856738.41;4;;;;;;;;;
454902.383;6835196.9;4;;;;;;;;;
477790.953;6820390.45;2;;;;;;;;;
480592.588;6814832.23;10;;;;;;;;;
464954.366;6846785.35;8;;;;;;;;;
510648.358;6813895.09;13;;;;;;;;;
431554.27;6827666.57;4;;;;;;;;;
422440.637;6830388.4;7;;;;;;;;;
460494.66;6863699.65;4;;;;;;;;;
422440.637;6830388.4;1;;;;;;;;;
541626.363;6822474.01;13;;;;;;;;;
433526.482;6837461.06;4;;;;;;;;;
433526.482;6837461.06;4;;;;;;;;;
438141.225;6846323.58;11;;;;;;;;;
534477.363;6827812.06;4;;;;;;;;;
444820.359;6866590.59;11;;;;;;;;;
460494.66;6863699.65;4;;;;;;;;;
